subfamily	family	orientation	n_copies	n_copies_total	median_log2fc	bg_median_log2fc	delta_vs_bg	frac_positive	median_input_dens	p	q
L1ME3D	L1	sense	714	4507	-0.462265	-0.330097	-0.132168	0.432773	1.07219	0.0338548	0.043753
L1M3	L1	sense	933	6751	-0.476192	-0.330097	-0.146095	0.442658	0.755534	0.0616467	0.0780177
L1MA5	L1	antisense	762	4432	-1.90616	-1.75928	-0.146879	0.11811	1.59971	0.00253791	0.00360029
L1P3	L1	antisense	424	3327	-1.91631	-1.75928	-0.157033	0.120283	0.883431	0.0185508	0.0243879
L1MA8	L1	sense	1398	10931	-0.489085	-0.330097	-0.158989	0.415594	0.770455	0.0177963	0.0234973
L1ME3E	L1	sense	757	4922	-0.499348	-0.330097	-0.169251	0.401585	1.00308	0.00458937	0.0064505
AluSz6	Alu	sense	14915	45181	-0.499483	-0.330097	-0.169386	0.4	0.938696	5.05996e-17	1.37793e-16
AluSz	Alu	sense	34810	97073	-0.499906	-0.330097	-0.169809	0.40046	0.71095	4.18769e-41	2.45624e-40
AluYb9	Alu	sense	68	327	-0.512284	-0.330097	-0.182187	0.455882	0.228166	0.812894	0.829207
L1ME3	L1	sense	1482	9252	-0.518505	-0.330097	-0.188409	0.402834	0.996937	0.00012628	0.000196508
L1M2a	L1	antisense	135	534	-1.95627	-1.75928	-0.196989	0.0444444	2.03581	0.0722289	0.0899176
AluJb	Alu	sense	42512	142591	-0.527164	-0.330097	-0.197067	0.388384	1.45829	1.53867e-77	1.73812e-76
L1MC4	L1	sense	4753	29055	-0.527291	-0.330097	-0.197194	0.408374	0.961416	1.74104e-08	3.54012e-08
L1P5	L1	antisense	102	682	-1.96727	-1.75928	-0.207995	0.156863	1.53823	0.0746711	0.0918335
L1M3c	L1	antisense	167	1098	-1.97005	-1.75928	-0.210771	0.155689	1.31233	0.0916598	0.111379
L1MB3	L1	antisense	4152	17156	-1.97703	-1.75928	-0.217753	0.108141	2.14477	5.53824e-30	2.31392e-29
AluSq10	Alu	sense	821	2404	-0.549485	-0.330097	-0.219389	0.410475	0.817999	0.00225421	0.00324309
L1PBa1	L1	antisense	71	404	-1.98305	-1.75928	-0.223767	0.084507	1.0894	0.179644	0.206761
AluYk11	Alu	antisense	258	1030	-1.9851	-1.75928	-0.225825	0.151163	2.08156	0.0685706	0.086066
L1PA8	L1	antisense	1085	7998	-1.98617	-1.75928	-0.226896	0.0829493	1.12055	3.10352e-08	6.26869e-08
L1MC5	L1	antisense	6068	20356	-1.99132	-1.75928	-0.232044	0.127554	2.24442	1.18522e-44	7.85855e-44
L1ME3A	L1	antisense	3353	15948	-1.99335	-1.75928	-0.234073	0.124068	2.08516	5.58698e-22	1.83229e-21
L1MC4a	L1	sense	4788	27328	-0.565792	-0.330097	-0.235695	0.390977	1.18694	2.75785e-14	6.72915e-14
