subfamily	family	orientation	n_genes	n_copies	n_contacts	te_frac	ctl_exp_frac	z_gene	p_gene	q_gene	shift_mean	shift_sd	z_shift	p_shift	q_shift
L1M8	L1	antisense	90	205	1122	0.0329768	0.0364924	-0.705351	0.759704	1	0.0427109	0.0339228	-0.286949	0.612924	1
L1MDa	L1	antisense	192	638	3629	0.035547	0.0376107	-0.726752	0.766311	1	0.032699	0.0146982	0.193761	0.423181	1
L1PA4	L1	antisense	396	1366	2733	0.0384193	0.0409217	-0.751	0.773674	1	0.037474	0.0161304	0.0586058	0.476633	1
AluYk2	Alu	antisense	75	134	243	0.0123457	0.0190788	-0.810936	0.791299	1	0.025102	0.022929	-0.55634	0.711011	1
AluYh3	Alu	sense	299	610	759	0.0382082	0.0436965	-0.836166	0.798469	1	0.0353427	0.0305946	0.09366	0.46269	1
L1HS	L1	sense	79	269	441	0.0249433	0.032007	-0.926498	0.822906	1	0.0371914	0.0411036	-0.297982	0.617142	1
L1P1	L1	antisense	145	373	458	0.0196507	0.0262981	-0.953317	0.829785	1	0.0701473	0.0826448	-0.611008	0.729403	1
AluYk3	Alu	antisense	113	207	281	0.0213523	0.0302993	-0.96513	0.83276	1	0.028205	0.0133905	-0.511755	0.695589	1
L1PA8A	L1	antisense	152	290	1741	0.0132108	0.0159889	-0.988546	0.838557	1	0.0155653	0.0100829	-0.233515	0.592319	1
L1PB3	L1	antisense	172	340	1938	0.0232198	0.0265153	-1.06888	0.857437	1	0.0213285	0.0117681	0.160715	0.436159	1
L1M4a1	L1	sense	225	586	2438	0.0184578	0.0215677	-1.1002	0.864378	1	0.0229078	0.0102537	-0.433992	0.667853	1
SVA_A	SVA	sense	105	228	529	0.0170132	0.0242658	-1.11079	0.86667	1	0.0324365	0.0179512	-0.859178	0.804879	1
AluYc	Alu	antisense	405	804	1167	0.0265638	0.0321849	-1.16369	0.877726	1	0.0376902	0.00972005	-1.14468	0.873829	1
L1MD3	L1	antisense	283	673	2218	0.0193868	0.0228355	-1.16598	0.878188	1	0.0329762	0.0219744	-0.61842	0.731851	1
L1MD	L1	antisense	461	1106	2726	0.0212766	0.0245365	-1.20176	0.885271	1	0.0319658	0.0187439	-0.570276	0.715755	1
L1ME1	L1	antisense	1181	3627	15715	0.0317531	0.0333183	-1.21407	0.88764	1	0.0432336	0.0151757	-0.756509	0.775328	1
L1MEa	L1	sense	30	76	273	0.003663	0.0115431	-1.22998	0.890649	1	0.0139153	0.0164118	-0.624689	0.733912	1
L1P4d	L1	sense	7	17	390	0.107692	0.125845	-1.2513	0.894588	1	0.184428	0.0452616	-1.69538	0.954998	1
L1MA10	L1	sense	334	860	1985	0.0297229	0.0343017	-1.29324	0.902036	1	0.0295444	0.0133018	0.0134239	0.494645	1
L1M4a2	L1	sense	182	537	2396	0.0221202	0.0264923	-1.39446	0.91841	1	0.0279657	0.0160631	-0.363909	0.642037	1
L1MB5	L1	sense	970	2874	10248	0.0209797	0.0229235	-1.40155	0.919475	1	0.0235903	0.00496707	-0.525576	0.700409	1
L1MB5	L1	antisense	485	1127	4099	0.0217126	0.0250187	-1.42753	0.923287	1	0.0307668	0.0112961	-0.801528	0.788587	1
L1MB2	L1	antisense	429	1021	3891	0.0336674	0.0378265	-1.47274	0.92959	1	0.037244	0.0117146	-0.305311	0.619936	1
L1MC2	L1	sense	593	1658	6782	0.0197582	0.0223121	-1.4897	0.931848	1	0.02785	0.0117726	-0.687337	0.754065	1
AluSq10	Alu	antisense	221	370	744	0.0295699	0.039202	-1.50923	0.93438	1	0.0570766	0.0427717	-0.643104	0.739922	1
L1M3e	L1	antisense	28	66	616	0.00974026	0.0177704	-1.51566	0.935197	1	0.0168084	0.0212763	-0.332207	0.630134	1
L1PBa1	L1	antisense	23	38	746	0.00536193	0.0110023	-1.53072	0.937081	1	0.0148414	0.0217367	-0.436105	0.66862	1
Alu	Alu	antisense	262	835	486	0.0164609	0.0272482	-1.57599	0.942486	1	0.0437521	0.0265122	-1.02938	0.84835	1
L1PA3	L1	sense	594	1835	3498	0.0294454	0.0341887	-1.67884	0.953408	1	0.0335649	0.0156192	-0.263748	0.604013	1
AluYj4	Alu	sense	305	633	783	0.0191571	0.028412	-1.71077	0.956439	1	0.0512755	0.0169746	-1.89215	0.970764	1
L1MA10	L1	antisense	254	599	1404	0.019943	0.0265256	-1.71812	0.957113	1	0.0339365	0.0299541	-0.467166	0.679809	1
L1P4e	L1	sense	16	35	419	0.0071599	0.0180726	-1.74178	0.959226	1	0.0177221	0.0266993	-0.395597	0.653799	1
AluYh3	Alu	antisense	221	432	657	0.0365297	0.0497133	-1.74801	0.959769	1	0.0449263	0.0325566	-0.257908	0.601761	1
AluYf1	Alu	sense	231	454	628	0.0414013	0.0560711	-1.79222	0.963451	1	0.054284	0.0144274	-0.892935	0.814054	1
Alu	Alu	sense	342	986	856	0.0257009	0.0364139	-1.8043	0.964408	1	0.0365929	0.011895	-0.915681	0.820083	1
